subject_id,time,Actinobacteria,Alphaproteobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Cyanobacteria,Epsilonproteobacteria,Erysipelotrichi,Flavobacteria,Fusobacteria,Gammaproteobacteria,Unclassified
21,45,0.009441563,0.0000553,0.056467604,0.000141294,0,0.038960063,0,0,0,0,0.0000252,0.893791855,0.001117037
21,46,0.00859684,0.0000518,0.032341231,0.000135106,0,0.062876589,0,0,0,0,0.0000284,0.894810301,0.00115974
21,47,0.007801882,0.0000484,0.01262908,0.000129315,0,0.090064736,0,0,0,0,0.0000315,0.888090588,0.001204535
21,48,0.007028982,0.0000451,0,0.00012348,0,0.119588815,0,0,0,0,0.0000343,0.871931845,0.001247545
21,49,0.006243453,0.0000415,0,0.00011692,0,0.149698467,0,0,0,0,0.0000366,0.842582206,0.001280821
21,50,0.005527769,0.0000384,0,0.000111105,0,0.181137715,0,0,0,0,0.0000389,0.811826804,0.001319393
22,41,0,0.0000374,0.006586741,0.00000167,0.0000665,0.003440528,0,0.0000125,0,0.0000136,0.00000166,0.989819766,0.0000198
22,42,0,0.0000445,0.003017279,0.000003,0.0000566,0.001536148,0,0.0000119,0,0.0000163,0.00000163,0.995312604,0
22,43,0,0.0000508,0,0.00000443,0.000048,0.000241723,0,0.000012,0,0.0000186,0.00000144,0.999622957,0
22,44,0,0.0000557,0,0.0000059,0.0000399,0.000207806,0,0.0000127,0,0.0000202,0.00000111,0.999656726,0
22,45,0,0.0000589,0,0.0000073,0.0000323,0.001255821,0,0.0000136,0,0.0000209,0.000000668,0.998610531,0
22,46,0,0.0000611,0,0.0000087,0.0000257,0.001842515,0,0.0000149,0,0.0000212,0.000000162,0.998025749,0
22,47,0,0.000063,0,0.0000101,0.0000204,0.000351845,0,0.0000166,0,0.0000211,0,0.999516863,0
22,48,0,0.0000639,0.01073933,0.0000115,0.0000159,0,0,0.0000185,0,0.0000206,0,0.989130246,0
22,49,0,0.0000649,0.030426704,0.000013,0.0000125,0.011577081,0,0.0000207,0,0.00002,0,0.95784519,0.00002
22,50,0.0000837,0.0000652,0.05327666,0.0000144,0.0000099,0.048720421,0,0.000023,0,0.000019,0,0.897727356,0.0000605
25,41,0.007330839,0.000850588,0.002533673,0.002627523,0.001833115,0.300462879,0.000262797,0.000173623,0,0.000771234,0.000123736,0.68230635,0.000611781
25,42,0.007729402,0.000911463,0.021424459,0.002909485,0.001912709,0.330099694,0.000282786,0.000183233,0,0.000832869,0.000119081,0.632860592,0.000625103
25,43,0.008113673,0.00097112,0.04034963,0.003186631,0.001990249,0.357977317,0.000302347,0.000192633,0,0.000893354,0.000114399,0.585163943,0.000638328
25,44,0.008482496,0.001029334,0.05785981,0.003457999,0.002065402,0.383629565,0.000321413,0.000201785,0,0.000952465,0.000109696,0.54113499,0.000651438
25,45,0.008834771,0.001085887,0.073520992,0.003722645,0.002137849,0.406967584,0.000339915,0.000210649,0,0.001009981,0.000104978,0.501299503,0.000664421
25,46,0.009169432,0.001140563,0.087406557,0.003979641,0.002207279,0.428091155,0.000357788,0.000219192,0,0.00106569,0.000100253,0.465487159,0.000677265
25,47,0.009485418,0.00119315,0.099593197,0.004228064,0.002273381,0.447100893,0.000374965,0.000227376,0,0.001119377,0.0000955,0.433523479,0.00068996
25,48,0.009781667,0.001243434,0.11015712,0.004466991,0.002335848,0.464096828,0.000391383,0.000235164,0,0.001170829,0.0000908,0.405235049,0.000702496
25,49,0.010057116,0.001291203,0.119174042,0.004695502,0.002394371,0.479178406,0.000406975,0.000242522,0,0.001219832,0.0000861,0.380449527,0.000714862
25,50,0.010310706,0.001336244,0.126719189,0.004912681,0.002448641,0.492444484,0.000421675,0.000249413,0,0.001266175,0.0000814,0.358995646,0.000727049
27,41,0.000033,0.0000218,0.06420559,0.0000222,0.0000378,0,0,0.0000551,0,0.000117338,0,0.935299451,0.000207759
27,42,0.0000271,0.0000064,0.131335301,0.0000185,0.000038,0.067209856,0,0.0000369,0,0.0000396,0,0.801073845,0.000214459
27,43,0.0000241,0,0.001502269,0.0000143,0.0000455,0.050872518,0,0.000025,0,0,0,0.947246,0.000270331
27,44,0.0000199,0,0.085428943,0.00000699,0.0000544,0.518011144,0,0.0000106,0,0,0,0.396125691,0.000342332
27,45,0.0000148,0,0.010708037,0,0.0000601,0,0,0,0,0,0,0.988817232,0.00039992
27,46,0.0000119,0,0.020709996,0,0.0000666,0.218272212,0,0,0,0,0,0.760471603,0.000467606
27,47,0.0000129,0,0.019123952,0,0.0000731,0.080327982,0,0,0,0,0,0.899924246,0.000537861
27,48,0.0000197,0,0.01772104,0,0.0000795,0.371006901,0,0,0,0,0,0.610562064,0.000610806
27,49,0.0000322,0,0.015294204,0,0.0000784,0.438341085,0,0,0,0,0,0.545627667,0.000626448
27,50,0.0000538,0.00000276,0.013646454,0,0.0000776,0.294895738,0,0,0,0,0,0.690680236,0.000643426
28,41,0.00063615,0.000109333,0.06634804,0.000109333,0.000277843,0.002893489,0.000109333,0.000218667,0,0.0000984,0.0000933,0.929029024,0.0000771
28,42,0.000600892,0.000108329,0.018231545,0.000108329,0.000234946,0.006126552,0.000108329,0.000216658,0,0.0000947,0.0000452,0.974064164,0.0000603
28,43,0.000532714,0.000100983,0,0.000100983,0.000191272,0.008989874,0.000100983,0.000201967,0,0.0000866,0,0.989651299,0.0000434
28,44,0.000452422,0.0000908,0,0.0000908,0.000155277,0.011186679,0.0000908,0.000181565,0,0.0000768,0,0.987646815,0.0000281
28,45,0.000361995,0.0000778,0,0.0000778,0.000128066,0.012238344,0.0000778,0.000155659,0,0.0000653,0,0.986802598,0.0000145
28,46,0.000267693,0.000063,0,0.000063,0.000112509,0.011709371,0.000063,0.000126001,0,0.0000528,0,0.98753961,0.000003
28,47,0.000175583,0.0000471,0,0.0000471,0.000111556,0.009149138,0.0000471,0.0000943,0,0.0000398,0,0.99028829,0
28,48,0.0000916,0.000031,0,0.000031,0.000128344,0.004075904,0.000031,0.000062,0,0.0000268,0,0.995522197,0
28,49,0.0000218,0.0000154,0.001595131,0.0000154,0.00016541,0,0.0000154,0.0000307,0,0.0000143,0,0.998126463,0
28,50,0,0.00000119,0.017253012,0.00000119,0.000223419,0,0.00000119,0.00000237,0,0.00000309,0,0.982512638,0
32,41,0,0,0.005556361,0,0,0,0,0,0,0,0,0.993952246,0.000469482
32,42,0,0,0.101277998,0,0,0,0,0,0,0,0,0.89822532,0.000476857
32,43,0,0,0.323741862,0,0,0,0,0,0,0,0,0.675751319,0.000489056
32,44,0,0,0.490786037,0,0,0.00014473,0,0,0,0,0,0.508548122,0.000505402
32,45,0,0,0.397909067,0,0,0.002473947,0,0,0,0,0,0.599079253,0.000524107
32,46,0,0,0,0,0,0.000975923,0,0,0,0,0,0.998464595,0.000547874
32,47,0,0,0,0,0,0,0,0,0,0,0,0.99941485,0.000575532
32,48,0,0,0,0,0,0,0,0,0,0,0,0.999386551,0.000605803
32,49,0,0,0,0,0,0,0,0,0,0,0,0.999355339,0.000638958
32,50,0,0,0,0,0,0.000793716,0,0,0,0,0,0.998528296,0.000674197
34,41,0.000206131,0.000110286,0.015197252,0,0.002748476,0.469900568,0,0,0,0.000873353,0,0.510792273,0.000171662
34,42,0.000247253,0.000100952,0.012665846,0,0.002397826,0.519774198,0,0,0,0.000768514,0,0.463880646,0.000164765
34,43,0.000296465,0.0000925,0.009433895,0,0.0020613,0.565618917,0,0,0,0.000666573,0.00000117,0.421669873,0.000159316
34,44,0.000352203,0.0000847,0.006035559,0,0.001734528,0.604927058,0,0,0,0.000566222,0.00000276,0.386142169,0.000154832
34,45,0.000412314,0.0000773,0.003053742,0,0.00141609,0.634751884,0,0,0,0.000467066,0.00000442,0.35966629,0.000150857
34,46,0.00047396,0.0000704,0.001105499,0,0.001107426,0.651950709,0,0,0,0.000369622,0.00000612,0.344769346,0.000146955
34,47,0.000534355,0.0000638,0.000641098,0,0.000813632,0.654377298,0,0,0,0.000275625,0.00000779,0.343143508,0.000142905
